-050.11 ; -040.45 ; * ; r 
-047.71 ; -039.56 ; * ; r 
-047.70 ; -039.79 ; * ; r 
-048.51 ; -040.30 ; * ; r 
-047.12 ; -044.06 ; * ; r 
-044.69 ; -044.60 ; * ; r 
-044.16 ; -045.15 ; * ; r 
-049.44 ; -045.92 ; * ; r 
-049.03 ; -046.69 ; * ; r 
-049.76 ; -048.62 ; * ; r 
-050.82 ; -052.84 ; * ; r 
-051.96 ; -055.67 ; * ; r 
-053.53 ; -061.61 ; * ; r 
-050.06 ; -061.37 ; * ; r 
-045.78 ; -060.86 ; * ; r 
-045.64 ; -061.81 ; * ; r 
-043.51 ; -060.97 ; * ; r 
-040.43 ; -059.97 ; * ; r 
-039.48 ; -060.29 ; * ; r 
-039.60 ; -062.36 ; * ; r 
-040.20 ; -063.41 ; * ; r 
-036.21 ; -043.94 ; * ; r 
-035.88 ; -035.34 ; * ; r 
-028.64 ; -038.12 ; * ; r 
-024.72 ; -040.74 ; * ; r 
-025.24 ; -048.17 ; * ; r 
-031.32 ; -057.35 ; * ; r 
-032.27 ; -061.59 ; * ; r 
-028.12 ; -060.48 ; * ; r 
-027.58 ; -062.60 ; * ; r 
-026.71 ; -059.95 ; * ; r 
-027.12 ; -059.05 ; * ; r 
-028.08 ; -057.32 ; * ; r 
-027.71 ; -056.78 ; * ; r 
-027.45 ; -057.20 ; * ; r 
-022.70 ; -062.95 ; * ; r 
-013.00 ; -033.16 ; * ; r 
-025.23 ; -062.33 ; * ; r 
-025.13 ; -063.87 ; * ; r 
-025.70 ; -060.92 ; * ; r 
-024.64 ; -053.21 ; * ; r 
-024.95 ; -056.24 ; * ; r 
-024.01 ; -055.88 ; * ; r 
-022.63 ; -060.32 ; * ; r 
-019.61 ; -057.22 ; * ; r 
-013.85 ; -061.09 ; * ; r 
-011.04 ; -062.00 ; * ; r 
-014.79 ; -064.88 ; * ; r 
-015.45 ; -062.01 ; * ; r 
-012.13 ; -063.87 ; * ; r 
-011.97 ; -063.96 ; * ; r 
-012.17 ; -064.16 ; * ; r 
-011.00 ; -063.93 ; * ; r 
-011.15 ; -064.21 ; * ; r 
-010.80 ; -064.42 ; * ; r 
-009.37 ; -064.28 ; * ; r 
-010.16 ; -063.40 ; * ; r 
-010.23 ; -063.63 ; * ; r 
-009.23 ; -063.29 ; * ; r 
-008.45 ; -059.70 ; * ; r 
-006.89 ; -056.09 ; * ; r 
-007.46 ; -063.10 ; * ; r 
-006.25 ; -059.91 ; * ; r 
-005.28 ; -060.54 ; * ; r 
-004.33 ; -060.80 ; * ; r 
-005.02 ; -056.17 ; * ; r 
-004.69 ; -064.22 ; * ; r 
-001.31 ; -060.41 ; * ; r 
-008.48 ; -052.66 ; * ; r 
-002.63 ; -049.25 ; * ; r 
+029.02 ; +049.20 ; * ; r 
+029.52 ; +048.97 ; * ; r 
-010.02 ; +005.39 ; * ; r 
-009.79 ; +004.78 ; * ; r 
-070.92 ; -012.29 ; * ; r 
-057.50 ; -014.42 ; * ; r 
-057.61 ; -015.57 ; * ; r 
-069.84 ; -010.20 ; * ; r 
+128.43 ; -016.28 ; * ; r 
-107.80 ; -057.36 ; * ; r 
-036.62 ; -035.45 ; * ; r 
-008.02 ; -052.64 ; * ; r 
